p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,512,-reorder,-a2a,-p2p_pl, ,-r2c_dir 1,0.8837931750088551,0.6254891828386798,2.0,fftw,-1331.98,1019.362181186676,theta-knl,4096,,64,False,5,4
float,512,-reorder, ,-p2p,-pencils,-r2c_dir 1,0.99298101761637,0.6199988432701741,2.0,fftw,-860.08,1043.7148337364197,theta-knl,4096,,64,False,3,4
float,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,0.9194108803658282,0.6252651080893403,4.0,fftw,-1352.51,1045.5096192359924,theta-knl,4096,,64,False,2,4
float,512, , ,-p2p_pl, ,-r2c_dir 1,0.9385955776025012,0.6439041686792268,4.0,fftw,-1358.09,1050.0820379257202,theta-knl,4096,,64,False,5,4
float,512, , ,-p2p, ,-r2c_dir 1,0.9369998596183494,0.5998061473026448,4.0,fftw,-1132.77,1056.7576076984406,theta-knl,4096,,64,False,4,4
float,512,-reorder, ,-p2p, ,-r2c_dir 1,0.9207892159084756,0.6180746143123795,4.0,fftw,-1372.43,1077.0549380779266,theta-knl,4096,,64,False,2,4
float,512, ,-a2a,-p2p_pl,-pencils,-r2c_dir 1,0.8529920708022832,0.6292256202510351,2.0,fftw,-1331.0,1077.4793362617493,theta-knl,4096,,64,False,3,4
float,512, ,-a2a,-p2p_pl,-pencils, ,0.9881151348191418,0.6392502788137983,4.0,fftw,-1300.64,1082.640596628189,theta-knl,4096,,64,False,5,4
float,512,-no-reorder,-a2a,-p2p_pl, ,-r2c_dir 1,0.925302727705306,0.6157133422123162,2.0,fftw,-1334.32,1091.0047948360443,theta-knl,4096,,64,False,4,4
float,512, ,-a2av,-p2p_pl, ,-r2c_dir 1,0.9442184061702557,0.6462660532877351,2.0,fftw,-1357.6,1106.6717970371246,theta-knl,4096,,64,False,2,4
double,512,-reorder,-a2av,-p2p_pl, ,-r2c_dir 1,0.9706880063390644,0.6275932708621634,4.0,fftw,-705.581,1112.8052468299866,theta-knl,4096,,64,False,3,4
float,512, , ,-p2p, ,-r2c_dir 1,0.8169980967811376,0.6346560127621604,2.0,fftw,-1377.64,1113.6239190101624,theta-knl,4096,,64,False,5,4
float,512, , ,-p2p_pl, ,-r2c_dir 1,0.951815729216238,0.6130159514151242,4.0,fftw,-1255.69,1121.5388269424438,theta-knl,4096,,64,False,4,4
float,512,-no-reorder,-a2av,-p2p, ,-r2c_dir 1,0.8544518095960648,0.6363410867333726,2.0,fftw,-1221.9,1141.828557014465,theta-knl,4096,,64,False,2,4
float,512,-reorder,-a2av,-p2p, ,-r2c_dir 1,0.9402607328899136,0.6299904384517947,2.0,fftw,-1378.74,1144.639001607895,theta-knl,4096,,64,False,5,4
float,512,-reorder,-a2av,-p2p, ,-r2c_dir 1,0.9576474052626208,0.6208551453145382,4.0,fftw,-1318.11,1147.5593383312223,theta-knl,4096,,64,False,3,4
float,512,-reorder, ,-p2p, ,-r2c_dir 1,0.9318137767168894,0.6323467341421128,2.0,fftw,-1398.11,1155.0229878425598,theta-knl,4096,,64,False,4,4
float,512, ,-a2av,-p2p_pl, ,-r2c_dir 1,0.9051734159425696,0.618830138420598,2.0,fftw,-1225.62,1171.7168474197388,theta-knl,4096,,64,False,2,4
float,512, , ,-p2p,-pencils,-r2c_dir 1,0.9842488436838874,0.631299394590489,2.0,fftw,-1402.93,1177.9131972789764,theta-knl,4096,,64,False,5,4
float,512, , ,-p2p_pl,-pencils, ,0.9293914454539932,0.6421110523382276,2.0,fftw,-1387.18,1179.590624332428,theta-knl,4096,,64,False,3,4
float,512,-reorder,-a2a,-p2p_pl, ,-r2c_dir 0,0.8788110724035537,0.6228532700985697,2.0,fftw,-1268.41,1185.7985444068909,theta-knl,4096,,64,False,4,4
float,512,-reorder,-a2a,-p2p, ,-r2c_dir 1,0.9002259766271609,0.6180675205899581,4.0,fftw,-1366.55,1205.5034289360046,theta-knl,4096,,64,False,2,4
float,512,-no-reorder,-a2a,-p2p_pl, ,-r2c_dir 1,0.9541504687126328,0.6335978105625865,4.0,fftw,-1344.9,1211.2496538162231,theta-knl,4096,,64,False,3,4
float,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,0.8926312547026147,0.6266048269304555,2.0,fftw,-1209.03,1213.2006130218506,theta-knl,4096,,64,False,5,4
float,512, ,-a2a,-p2p_pl,-pencils, ,0.9647535546439326,0.6342596700802852,4.0,fftw,-1335.73,1220.7538661956787,theta-knl,4096,,64,False,4,4
float,512,-reorder,-a2a,-p2p, ,-r2c_dir 1,0.9347782580162576,0.6367661794374991,4.0,fftw,-1375.32,1239.5232775211334,theta-knl,4096,,64,False,2,4
float,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,0.9887275247777048,0.6323044889989302,4.0,fftw,-1344.96,1244.816772699356,theta-knl,4096,,64,False,3,4
float,512, ,-a2a,-p2p_pl,-pencils,-r2c_dir 1,0.9855540682237278,0.5940533927548645,4.0,fftw,-1026.25,1252.431671142578,theta-knl,4096,,64,False,5,4
float,512, ,-a2a,-p2p_pl,-pencils,-r2c_dir 1,0.8528469054111832,0.6196852235617247,2.0,fftw,-1277.35,1254.848059177399,theta-knl,4096,,64,False,4,4
float,512, , ,-p2p_pl,-pencils,-r2c_dir 1,0.9111449574233108,0.6009990716822213,2.0,fftw,-1334.5,1270.1490485668182,theta-knl,4096,,64,False,2,4
float,512,-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,0.8581126096692737,0.6222986610845825,2.0,fftw,-1336.24,1278.9915153980255,theta-knl,4096,,64,False,3,4
float,512, ,-a2a,-p2p_pl, , ,0.8959244197663437,0.6174330533509815,2.0,fftw,-948.395,1285.767161846161,theta-knl,4096,,64,False,5,4
float,512, , ,-p2p,-pencils,-r2c_dir 1,0.9596641082347492,0.6281078411952837,2.0,fftw,-1371.92,1291.151653766632,theta-knl,4096,,64,False,4,4
float,512, , ,-p2p, ,-r2c_dir 1,0.969027314318732,0.6446467233292,4.0,fftw,-1286.32,1304.3266623020172,theta-knl,4096,,64,False,2,4
float,512, , ,-p2p,-pencils,-r2c_dir 1,0.9360589182417124,0.6437447992452516,2.0,fftw,-1384.62,1312.756735086441,theta-knl,4096,,64,False,3,4
float,512, ,-a2a,-p2p_pl, ,-r2c_dir 1,0.879524041723431,0.6451786489975109,4.0,fftw,-1076.08,1321.859760761261,theta-knl,4096,,64,False,5,4
float,512, ,-a2a,-p2p,-pencils,-r2c_dir 0,0.9654207326357156,0.6385403058325918,4.0,fftw,-1245.3,1324.782033443451,theta-knl,4096,,64,False,4,4
float,512,-reorder,-a2a,-p2p,-pencils,-r2c_dir 1,0.9897764973065786,0.6383973034358325,2.0,fftw,-1259.1,1338.0694789886477,theta-knl,4096,,64,False,2,4
float,512, , ,-p2p,-pencils,-r2c_dir 1,0.8806481460843706,0.6430058439974377,2.0,fftw,-1270.15,1342.8102564811709,theta-knl,4096,,64,False,3,4
float,512, , , ,-pencils,-r2c_dir 1,0.958636568136767,0.631156817672126,2.0,fftw,-1024.95,1351.677919626236,theta-knl,4096,,64,False,5,4
float,512,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,0.9311829264944076,0.6408467080688228,4.0,fftw,-1358.49,1359.4376862049105,theta-knl,4096,,64,False,4,4
float,512,-reorder,-a2av,-p2p_pl, ,-r2c_dir 0,0.910707502958714,0.6397465503267025,2.0,fftw,-1367.7,1369.6763598918917,theta-knl,4096,,64,False,2,4
float,512,-no-reorder,-a2a,-p2p, ,-r2c_dir 1,0.91953050857492,0.624270282469089,4.0,fftw,-1355.65,1373.002834558487,theta-knl,4096,,64,False,3,4
float,512, ,-a2a,-p2p_pl, ,-r2c_dir 0,0.9116004860493884,0.646566087395709,2.0,fftw,-1294.38,1382.4320867061615,theta-knl,4096,,64,False,5,4
float,512, , ,-p2p_pl, ,-r2c_dir 0,0.932258414952732,0.6435725396108946,2.0,fftw,-1258.96,1392.2366423606873,theta-knl,4096,,64,False,4,4
float,512,-no-reorder, ,-p2p, ,-r2c_dir 0,0.9471576613335346,0.6407980403749681,4.0,fftw,-1304.52,1404.285652399063,theta-knl,4096,,64,False,2,4
float,512,-no-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,0.8969122529134563,0.6397992314162947,4.0,fftw,-806.769,1406.711359024048,theta-knl,4096,,64,False,3,4
float,512, ,-a2a,-p2p_pl, , ,0.9135078072868582,0.6417648570694426,2.0,fftw,-1295.66,1411.5186760425568,theta-knl,4096,,64,False,5,4
float,512,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,0.9993310743570052,0.6423222947952703,4.0,fftw,-1318.19,1426.4681601524353,theta-knl,4096,,64,False,4,4
float,512,-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,0.9153533487276028,0.6395219819705181,2.0,fftw,-1364.08,1435.5136501789093,theta-knl,4096,,64,False,3,4
float,512,-reorder, ,-p2p_pl, ,-r2c_dir 1,0.8550038613132513,0.6410297980134837,2.0,fftw,-1272.29,1437.3851971626282,theta-knl,4096,,64,False,2,4
float,512,-reorder,-a2a,-p2p,-pencils,-r2c_dir 1,0.8603134490611212,0.6297584381747835,4.0,fftw,-1303.93,1444.1753723621368,theta-knl,4096,,64,False,5,4
float,512,-reorder,-a2a,-p2p_pl,-pencils, ,0.9145140530839684,0.6090219638412901,2.0,fftw,-1221.96,1459.6632664203644,theta-knl,4096,,64,False,4,4
float,512, , ,-p2p, ,-r2c_dir 1,0.9994673567315796,0.6354477603646806,4.0,fftw,-1351.04,1464.8929104804993,theta-knl,4096,,64,False,2,4
float,512, ,-a2av,-p2p, ,-r2c_dir 1,0.9386415775439068,0.6354429334337107,2.0,fftw,-1393.28,1473.4946222305298,theta-knl,4096,,64,False,3,4
float,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,0.9503622820920936,0.632469874573027,2.0,fftw,-1370.63,1478.7525141239166,theta-knl,4096,,64,False,5,4
float,512, ,-a2av,-p2p_pl,-pencils,-r2c_dir 0,0.8328144179758228,0.6338073059915571,4.0,fftw,-1261.66,1492.7663917541504,theta-knl,4096,,64,False,4,4
float,512, ,-a2av,-p2p,-pencils,-r2c_dir 1,0.9267596628233934,0.6307567833241674,2.0,fftw,-1373.89,1504.6190614700315,theta-knl,4096,,64,False,3,4
float,512,-no-reorder, ,-p2p, ,-r2c_dir 1,0.9506410915007568,0.7267301998164967,2.0,fftw,-1168.52,1506.406567811966,theta-knl,4096,,64,False,2,4
float,512, ,-a2av,-p2p_pl, ,-r2c_dir 1,0.8581698661689994,0.6288868847703813,2.0,fftw,-1333.6,1507.5263810157776,theta-knl,4096,,64,False,5,4
float,512, ,-a2av,-p2p,-pencils,-r2c_dir 1,0.8328476978860763,0.633732403014967,2.0,fftw,-1308.46,1524.2790055274963,theta-knl,4096,,64,False,4,4
float,512,-reorder,-a2a,-p2p_pl, , ,0.8613541360782212,0.6243026603586195,2.0,fftw,-1266.64,1534.3627195358276,theta-knl,4096,,64,False,2,4
float,512,-reorder, ,-p2p_pl, ,-r2c_dir 1,0.8514143500377286,0.6159282270894522,2.0,fftw,-1306.96,1539.7738802433014,theta-knl,4096,,64,False,3,4
float,512, ,-a2av,-p2p,-pencils,-r2c_dir 0,0.8658373915809277,0.6122831635358119,4.0,fftw,-1313.91,1541.521960258484,theta-knl,4096,,64,False,5,4
float,512,-no-reorder, ,-p2p, ,-r2c_dir 1,0.9311701673450744,0.6041607659526036,4.0,fftw,-1308.59,1555.2046866416931,theta-knl,4096,,64,False,4,4
float,512,-no-reorder,-a2av,-p2p_pl, ,-r2c_dir 1,0.9424418299991189,0.6249137187863574,4.0,fftw,-1314.36,1570.6438658237455,theta-knl,4096,,64,False,2,4
float,512, ,-a2av,-p2p_pl, ,-r2c_dir 1,0.8389244869920609,0.6249510589193666,4.0,fftw,-1325.12,1572.2283143997192,theta-knl,4096,,64,False,3,4
float,512,-reorder, ,-p2p_pl, ,-r2c_dir 1,0.9357773604661224,0.6161871814711952,4.0,fftw,-1407.23,1584.6246178150177,theta-knl,4096,,64,False,4,4
float,512, ,-a2a,-p2p,-pencils,-r2c_dir 1,0.9441989363067644,0.6253840662063579,4.0,fftw,-1271.78,1599.0483422279358,theta-knl,4096,,64,False,5,4
float,512,-no-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,0.9239432280548712,0.6083252305120821,4.0,fftw,-1387.77,1599.7147212028503,theta-knl,4096,,64,False,2,4
float,512, , ,-p2p, ,-r2c_dir 1,0.9259612212775004,0.6266811848274365,4.0,fftw,-1363.49,1604.2690780162811,theta-knl,4096,,64,False,3,4
float,512, ,-a2av,-p2p,-pencils,-r2c_dir 1,0.977942705692462,0.63124966008448,4.0,fftw,-1390.04,1618.2568242549896,theta-knl,4096,,64,False,4,4
float,512,-reorder,-a2a,-p2p, ,-r2c_dir 1,0.9261173002373952,0.6371534572544264,2.0,fftw,-1379.26,1633.477029800415,theta-knl,4096,,64,False,5,4
float,512,-reorder,-a2a,-p2p_pl, ,-r2c_dir 1,0.9639131303406304,0.6263371448709028,4.0,fftw,-1380.57,1633.9546296596527,theta-knl,4096,,64,False,2,4
float,512, ,-a2a,-p2p, , ,0.9923471011263516,0.630103908994948,2.0,fftw,-1316.0,1637.1788148880005,theta-knl,4096,,64,False,3,4
float,512,-no-reorder, ,-p2p,-pencils,-r2c_dir 1,0.9765912673035496,0.6383171282146701,4.0,fftw,-1321.2,1649.1482663154602,theta-knl,4096,,64,False,4,4
float,512,-no-reorder, ,-p2p_pl, , ,0.9301569340649928,0.6452047141689713,4.0,fftw,-1367.21,1666.8442628383636,theta-knl,4096,,64,False,3,4
float,512,-no-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,0.9213478680921116,0.6353807169968756,4.0,fftw,-1315.47,1668.207112312317,theta-knl,4096,,64,False,2,4
float,512,-no-reorder, ,-p2p,-pencils,-r2c_dir 1,0.9491226810870972,0.6225914570708898,2.0,fftw,-1365.33,1670.499631166458,theta-knl,4096,,64,False,5,4
float,512,-no-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,0.963847714287207,0.6360936316783379,4.0,fftw,-1264.15,1681.9676403999329,theta-knl,4096,,64,False,4,4
float,512,-no-reorder,-a2a,-p2p_pl, ,-r2c_dir 0,0.849420033953022,0.6285847814001343,4.0,fftw,-1269.02,1698.3476285934448,theta-knl,4096,,64,False,2,4
float,512,-no-reorder, ,-p2p, ,-r2c_dir 1,0.947750113555752,0.6302475579630387,4.0,fftw,-1350.31,1703.3981776237488,theta-knl,4096,,64,False,3,4
float,512,-no-reorder,-a2a,-p2p_pl, ,-r2c_dir 0,0.935064997521862,0.6492542531364449,2.0,fftw,-1357.14,1705.7639956474304,theta-knl,4096,,64,False,5,4
float,512,-no-reorder,-a2av,-p2p_pl, ,-r2c_dir 0,0.8280559958807088,0.6054890325328767,4.0,fftw,-1201.18,1718.4288592338562,theta-knl,4096,,64,False,4,4
float,512,-no-reorder,-a2av,-p2p, ,-r2c_dir 1,0.9024127060114784,0.6200331768097916,2.0,fftw,-1275.81,1727.495357990265,theta-knl,4096,,64,False,2,4
float,512,-reorder,-a2av,-p2p_pl, ,-r2c_dir 1,0.9642691345438926,0.6483323015584982,2.0,fftw,-1388.38,1736.0244762897491,theta-knl,4096,,64,False,3,4
float,512,-reorder,-a2a,-p2p, ,-r2c_dir 1,0.932615773046251,0.6196830774042299,4.0,fftw,-1406.15,1737.7083792686462,theta-knl,4096,,64,False,5,4
float,512,-reorder, ,-p2p, ,-r2c_dir 1,0.8239928652648313,0.6215687221731091,2.0,fftw,-1375.34,1751.3973302841189,theta-knl,4096,,64,False,4,4
float,512,-reorder,-a2av,-p2p_pl, , ,0.9253298648979346,0.6451913024058422,4.0,fftw,-1312.88,1762.484645843506,theta-knl,4096,,64,False,2,4
